segment_index,t_start,t_end,mean,std,wlc_ratio,wlc_bits_per_sample,bz2_ratio
0,0.0,1.0,125.89433288574219,2.6826333776522864,6.524240915878546,1.2261962890625,15.202041289723962
1,1.0,2.0,125.88748168945312,1.7205436751198158,6.702393127428922,1.193603515625,15.996094703441543
2,2.0,3.0,125.88929748535156,2.0454501140508965,6.583885875025116,1.215087890625,15.351604591239166
3,3.0,4.0,125.92672729492188,2.282367236552306,6.581241213094999,1.215576171875,15.024300779458963
4,4.0,5.0,125.92373657226562,1.428912632551481,6.813182243476453,1.1741943359375,17.925601750547045
5,5.0,6.0,125.87197875976562,1.6073063056230843,6.718195797027166,1.1907958984375,16.769703172978506
6,6.0,7.0,125.86770629882812,3.398525083306672,6.452934226073257,1.23974609375,13.454321494559638
7,7.0,8.0,125.8636474609375,2.075912068171171,6.534649516402433,1.2242431640625,14.644916201117319
8,8.0,9.0,125.89875793457031,2.9753761858810126,6.791295336787565,1.177978515625,17.27814394938044
9,9.0,10.0,125.90411376953125,8.86929649593245,5.658924099818669,1.4136962890625,8.628834759710335
10,10.0,11.0,125.88563537597656,2.7129569577218997,6.475889328063241,1.2353515625,14.072578913463603
11,11.0,12.0,125.94674682617188,4.921776019626234,5.7246680642907055,1.3974609375,10.107341147439852
12,12.0,13.0,125.88197326660156,7.858318827379197,5.706722396377569,1.40185546875,8.889853499728703
13,13.0,14.0,125.91737365722656,3.971620168086344,5.9987185354691075,1.3336181640625,11.825333814507397
14,14.0,15.0,125.85409545898438,3.5364592315140606,6.102048417132216,1.31103515625,11.746908048037282
15,15.0,16.0,125.87162780761719,7.540880816937892,5.487398476094784,1.4578857421875,8.59037881766942
16,16.0,17.0,125.87025451660156,2.006990705158445,6.570683777822338,1.217529296875,14.959141748459256
17,17.0,18.0,125.88090515136719,11.754279125899988,5.52440360785636,1.4481201171875,7.5650467505483086
18,18.0,19.0,125.89955139160156,7.559559396903566,5.329863370201692,1.5009765625,8.417159003339327
19,19.0,20.0,125.89263916015625,12.40244439497233,5.456331695945384,1.4661865234375,7.545883707541739
20,20.0,21.0,125.94635009765625,2.887771413869137,6.22196904965347,1.2857666015625,12.321112991163753
21,21.0,22.0,125.89332580566406,20.689376051076657,4.301391441323182,1.85986328125,5.538877620013523
22,22.0,23.0,125.8629150390625,17.342558917395337,4.650251898105442,1.7203369140625,5.887701015182823
23,23.0,24.0,125.87893676757812,17.65786751281155,4.7297921478060045,1.69140625,5.869245925129858
24,24.0,25.0,125.87100219726562,14.664600173164105,5.005422744978232,1.5982666015625,6.696913958716534
25,25.0,26.0,125.87867736816406,16.50931649660928,4.6403738582454155,1.7239990234375,6.01137405980554
26,26.0,27.0,125.88575744628906,9.454798458862603,5.210367307998092,1.535400390625,8.214590122837803
27,27.0,28.0,125.92025756835938,8.952870430612208,5.204574332909784,1.537109375,7.888300433317284
28,28.0,29.0,125.9185791015625,8.021700550340238,4.947606824701797,1.616943359375,8.398820966295014
29,29.0,30.0,125.88768005371094,2.674022040526276,6.316722891566265,1.2664794921875,12.969720957846823
30,30.0,31.0,125.88790893554688,2.7917763490497434,6.287029930928626,1.2724609375,12.832582729586841
31,31.0,32.0,125.852294921875,9.678833237976981,4.745890361358534,1.6856689453125,7.691116066189414
32,32.0,33.0,125.90719604492188,6.8952865272669674,5.686914265879903,1.40673828125,9.293250141803744
33,33.0,34.0,125.88388061523438,8.830864421729395,5.235759367260526,1.5279541015625,8.244559064033211
34,34.0,35.0,125.88117980957031,1.3471508743145904,6.910164487557992,1.15771484375,19.30936947554508
35,35.0,36.0,125.9052734375,3.3215942780958074,6.270187523918867,1.27587890625,13.016087388282026
36,36.0,37.0,125.90821838378906,6.8406846614834835,5.44997920997921,1.4678955078125,9.058189357290948
37,37.0,38.0,125.90353393554688,3.0865262035887815,6.22433279513724,1.2852783203125,12.944104285996445
38,38.0,39.0,125.91410827636719,0.8315039728880266,7.0895716140199045,1.12841796875,24.138489871086556
39,39.0,40.0,125.85527038574219,6.75707663940754,5.683954900260191,1.407470703125,9.550568347420578
40,40.0,41.0,125.90908813476562,5.845296037428856,6.002564572265983,1.332763671875,10.623439779542876
41,41.0,42.0,125.86201477050781,1.4389916660351272,6.880419947506562,1.1627197265625,18.607609312890403
42,42.0,43.0,125.89558410644531,7.440747471291089,5.5220761712167175,1.44873046875,9.174856502869943
43,43.0,44.0,125.91526794433594,3.2263744717054514,6.520346234205552,1.2269287109375,14.413019573345062
44,44.0,45.0,125.92140197753906,3.157076927918437,6.204885438363946,1.289306640625,13.054980079681275
45,45.0,46.0,125.87699890136719,11.179246289872047,4.697584402551788,1.7030029296875,7.24795399247954
46,46.0,47.0,125.88719177246094,7.035759197308449,5.346822224035245,1.4962158203125,9.068216410682163
47,47.0,48.0,125.86373901367188,3.298159529714813,6.193158193158193,1.291748046875,12.518815663801337
48,48.0,49.0,125.86424255371094,1.6371483158711935,6.7919991708985386,1.1778564453125,17.95998903809263
49,49.0,50.0,125.88658142089844,9.820242547500285,5.117601124472904,1.563232421875,7.815861657722123
50,50.0,51.0,125.90748596191406,10.577399468075752,5.140481606400502,1.5562744140625,7.567667436489607
51,51.0,52.0,125.89743041992188,1.4015684186024766,6.931359069275516,1.1541748046875,20.32124031007752
52,52.0,53.0,125.952880859375,4.606981794128398,6.80539979231568,1.175537109375,18.429696287964006
53,53.0,54.0,125.91629028320312,4.525030700400141,6.500942366828688,1.2305908203125,16.011727339359883
54,54.0,55.0,125.91130065917969,0.6460728572684195,7.213648871766648,1.1090087890625,30.11764705882353
55,55.0,56.0,125.89324951171875,0.985034916323637,7.027235685181214,1.138427734375,21.76552640318831
56,56.0,57.0,125.88706970214844,1.2836249120437577,6.96080722251726,1.1492919921875,19.98048780487805
57,57.0,58.0,125.88473510742188,1.8033396321152884,6.842347045312174,1.169189453125,18.429696287964006
58,58.0,59.0,125.91499328613281,5.938501441550117,6.324647751399343,1.264892578125,13.440525020508614
59,59.0,60.0,125.92916870117188,2.207833790448671,7.006949641826152,1.1417236328125,22.954816112084064
